date,tvl_usd
2023-11-20 00:00:00,19140687
2023-11-21 00:00:00,19690320
2023-11-22 00:00:00,20271220
2023-11-23 00:00:00,22071776
2023-11-24 00:00:00,22653474
2023-11-25 00:00:00,23295174
2023-11-26 00:00:00,23608759
2023-11-27 00:00:00,24704215
2023-11-28 00:00:00,25472677
2023-11-29 00:00:00,26815745
2023-11-30 00:00:00,28201349
2023-12-01 00:00:00,29650772
2023-12-02 00:00:00,30314021
2023-12-03 00:00:00,33095529
2023-12-04 00:00:00,34092704
2023-12-05 00:00:00,36212982
2023-12-06 00:00:00,37075111
2023-12-07 00:00:00,39146337
2023-12-08 00:00:00,39398380
2023-12-09 00:00:00,41467847
2023-12-10 00:00:00,41184560
2023-12-11 00:00:00,41371647
2023-12-12 00:00:00,39916986
2023-12-13 00:00:00,40409341
2023-12-14 00:00:00,40529228
2023-12-15 00:00:00,42317463
2023-12-16 00:00:00,42144824
2023-12-17 00:00:00,43188662
2023-12-18 00:00:00,43669533
2023-12-19 00:00:00,42899407
2023-12-20 00:00:00,44006228
2023-12-21 00:00:00,45531229
2023-12-22 00:00:00,47338240
2023-12-23 00:00:00,48680629
2023-12-24 00:00:00,49783906
2023-12-25 00:00:00,51146109
2023-12-26 00:00:00,53323607
2023-12-27 00:00:00,53281397
2023-12-28 00:00:00,54530682
2023-12-29 00:00:00,54845354
2023-12-30 00:00:00,56580962
2023-12-31 00:00:00,57245175
2024-01-01 00:00:00,57944200
2024-01-02 00:00:00,60782024
2024-01-03 00:00:00,64977192
2024-01-04 00:00:00,61418311
2024-01-05 00:00:00,63958209
2024-01-06 00:00:00,65575033
2024-01-07 00:00:00,65949239
2024-01-08 00:00:00,68545773
2024-01-09 00:00:00,70483180
2024-01-10 00:00:00,71348929
2024-01-11 00:00:00,78224114
2024-01-12 00:00:00,84748796
2024-01-13 00:00:00,88525274
2024-01-14 00:00:00,92462541
2024-01-15 00:00:00,95820723
2024-01-16 00:00:00,98485043
2024-01-17 00:00:00,102209060
2024-01-18 00:00:00,105144156
2024-01-19 00:00:00,106935735
2024-01-20 00:00:00,112133366
2024-01-21 00:00:00,112451703
2024-01-22 00:00:00,113681231
2024-01-23 00:00:00,115560244
2024-01-24 00:00:00,121791666
2024-01-25 00:00:00,124410459
2024-01-26 00:00:00,125143508
2024-01-27 00:00:00,126962757
2024-01-28 00:00:00,125918361
2024-01-29 00:00:00,128013626
2024-01-30 00:00:00,129537425
2024-01-31 00:00:00,132713498
2024-02-01 00:00:00,134525297
2024-02-02 00:00:00,136776169
2024-02-03 00:00:00,142165899
2024-02-04 00:00:00,144995859
2024-02-05 00:00:00,149389422
2024-02-06 00:00:00,153055183
2024-02-07 00:00:00,158157717
2024-02-08 00:00:00,161790312
2024-02-09 00:00:00,160335903
2024-02-10 00:00:00,164417810
2024-02-11 00:00:00,163974475
2024-02-12 00:00:00,161733026
2024-02-13 00:00:00,157325767
2024-02-14 00:00:00,156869601
2024-02-15 00:00:00,159566911
2024-02-16 00:00:00,166222243
2024-02-17 00:00:00,169562693
2024-02-18 00:00:00,171433309
2024-02-19 00:00:00,173635049
2024-02-20 00:00:00,179146832
2024-02-21 00:00:00,179682509
2024-02-22 00:00:00,180789766
2024-02-23 00:00:00,185860152
2024-02-24 00:00:00,192607913
2024-02-25 00:00:00,194849758
2024-02-26 00:00:00,196178668
2024-02-27 00:00:00,197887190
2024-02-28 00:00:00,204789783
2024-02-29 00:00:00,213367150
2024-03-01 00:00:00,215721585
2024-03-02 00:00:00,222262798
2024-03-03 00:00:00,227815078
2024-03-04 00:00:00,230714255
2024-03-05 00:00:00,242218489
2024-03-06 00:00:00,240859399
2024-03-07 00:00:00,249086920
2024-03-08 00:00:00,256039053
2024-03-09 00:00:00,261385371
2024-03-10 00:00:00,266637750
2024-03-11 00:00:00,268308519
2024-03-12 00:00:00,269470169
2024-03-13 00:00:00,270772492
2024-03-14 00:00:00,274610262
2024-03-15 00:00:00,283123708
2024-03-16 00:00:00,287694349
2024-03-17 00:00:00,288444661
2024-03-18 00:00:00,292050067
2024-03-19 00:00:00,296627584
2024-03-20 00:00:00,302081395
2024-03-21 00:00:00,315451379
2024-03-22 00:00:00,320690202
2024-03-23 00:00:00,321353181
2024-03-24 00:00:00,324741760
2024-03-25 00:00:00,334196308
2024-03-26 00:00:00,342997501
2024-03-27 00:00:00,345492001
2024-03-28 00:00:00,343607309
2024-03-29 00:00:00,343058172
2024-03-30 00:00:00,349892919
2024-03-31 00:00:00,350525430
2024-04-01 00:00:00,351273209
2024-04-02 00:00:00,347825730
2024-04-03 00:00:00,340008800
2024-04-04 00:00:00,340013492
2024-04-05 00:00:00,342205018
2024-04-06 00:00:00,342500865
2024-04-07 00:00:00,353529540
2024-04-08 00:00:00,355020080
2024-04-09 00:00:00,359307746
2024-04-10 00:00:00,364414333
2024-04-11 00:00:00,369737425
2024-04-12 00:00:00,377717874
2024-04-13 00:00:00,376489277
2024-04-14 00:00:00,355076094
2024-04-15 00:00:00,351370015
2024-04-16 00:00:00,350353409
2024-04-17 00:00:00,356064782
2024-04-18 00:00:00,351977148
2024-04-19 00:00:00,354474663
2024-04-20 00:00:00,357535035
2024-04-21 00:00:00,360813849
2024-04-22 00:00:00,361016581
2024-04-23 00:00:00,363200344
2024-04-24 00:00:00,362985339
2024-04-25 00:00:00,358995221
2024-04-26 00:00:00,360062816
2024-04-27 00:00:00,360624902
2024-04-28 00:00:00,359855178
2024-04-29 00:00:00,360741534
2024-04-30 00:00:00,361908557
2024-05-01 00:00:00,364870520
2024-05-02 00:00:00,361792440
2024-05-03 00:00:00,359353853
2024-05-04 00:00:00,361551550
2024-05-05 00:00:00,356412084
2024-05-06 00:00:00,354983312
2024-05-07 00:00:00,341384260
2024-05-08 00:00:00,341487622
2024-05-09 00:00:00,341819800
2024-05-10 00:00:00,348461721
2024-05-11 00:00:00,349164547
2024-05-12 00:00:00,348601807
2024-05-13 00:00:00,348675468
2024-05-14 00:00:00,347498900
2024-05-15 00:00:00,353060127
2024-05-16 00:00:00,351460514
2024-05-17 00:00:00,355100410
2024-05-18 00:00:00,354540017
2024-05-19 00:00:00,348050076
2024-05-20 00:00:00,345539849
2024-05-21 00:00:00,337826820
2024-05-22 00:00:00,343199078
2024-05-23 00:00:00,343107414
2024-05-24 00:00:00,353917499
2024-05-25 00:00:00,356730922
2024-05-26 00:00:00,357476913
2024-05-27 00:00:00,359233811
2024-05-28 00:00:00,363951617
2024-05-29 00:00:00,363403077
2024-05-30 00:00:00,366980164
2024-05-31 00:00:00,367095679
2024-06-01 00:00:00,378129750
2024-06-02 00:00:00,377365237
2024-06-03 00:00:00,377668648
2024-06-04 00:00:00,383577639
2024-06-05 00:00:00,382343496
2024-06-06 00:00:00,392497574
2024-06-07 00:00:00,392428855
2024-06-08 00:00:00,399135434
2024-06-09 00:00:00,397927823
2024-06-10 00:00:00,397127856
2024-06-11 00:00:00,394829615
2024-06-12 00:00:00,390708920
2024-06-13 00:00:00,391757103
2024-06-14 00:00:00,387464381
2024-06-15 00:00:00,385013294
2024-06-16 00:00:00,387019521
2024-06-17 00:00:00,390517368
2024-06-18 00:00:00,391235114
2024-06-19 00:00:00,386971874
2024-06-20 00:00:00,387198244
2024-06-21 00:00:00,382865680
2024-06-22 00:00:00,382640560
2024-06-23 00:00:00,382911565
2024-06-24 00:00:00,384958302
2024-06-25 00:00:00,381972124
2024-06-26 00:00:00,386762383
2024-06-27 00:00:00,389607754
2024-06-28 00:00:00,389533744
2024-06-29 00:00:00,384289157
2024-06-30 00:00:00,386102674
2024-07-01 00:00:00,384706837
2024-07-02 00:00:00,388216585
2024-07-03 00:00:00,391124721
2024-07-04 00:00:00,391384400
2024-07-05 00:00:00,387366148
2024-07-06 00:00:00,379962341
2024-07-07 00:00:00,380908298
2024-07-08 00:00:00,382045759
2024-07-09 00:00:00,380031758
2024-07-10 00:00:00,386030251
2024-07-11 00:00:00,392521458
2024-07-12 00:00:00,393274294
2024-07-13 00:00:00,391317116
2024-07-14 00:00:00,398373436
2024-07-15 00:00:00,402028391
2024-07-16 00:00:00,409802705
2024-07-17 00:00:00,411471169
2024-07-18 00:00:00,413869212
2024-07-19 00:00:00,414934239
2024-07-20 00:00:00,421294216
2024-07-21 00:00:00,418551221
2024-07-22 00:00:00,423106159
2024-07-23 00:00:00,422594748
2024-07-24 00:00:00,425558093
2024-07-25 00:00:00,429688306
2024-07-26 00:00:00,432383488
2024-07-27 00:00:00,437787945
2024-07-28 00:00:00,438473653
2024-07-29 00:00:00,443133901
2024-07-30 00:00:00,445436934
2024-07-31 00:00:00,443309995
2024-08-01 00:00:00,448891670
2024-08-02 00:00:00,448471891
2024-08-03 00:00:00,450902983
2024-08-04 00:00:00,459123422
2024-08-05 00:00:00,466971755
2024-08-06 00:00:00,448111998
2024-08-07 00:00:00,469726844
2024-08-08 00:00:00,482820396
2024-08-09 00:00:00,491086912
2024-08-10 00:00:00,495231194
2024-08-11 00:00:00,496251485
2024-08-12 00:00:00,497459874
2024-08-13 00:00:00,502721463
2024-08-14 00:00:00,507939365
2024-08-15 00:00:00,511006609
2024-08-16 00:00:00,525838245
2024-08-17 00:00:00,528782037
2024-08-18 00:00:00,535854194
2024-08-19 00:00:00,539540373
2024-08-20 00:00:00,539980612
2024-08-21 00:00:00,541751964
2024-08-22 00:00:00,545590285
2024-08-23 00:00:00,548018237
2024-08-24 00:00:00,554300490
2024-08-25 00:00:00,555598684
2024-08-26 00:00:00,557221103
2024-08-27 00:00:00,566753877
2024-08-28 00:00:00,569702616
2024-08-29 00:00:00,568478987
2024-08-30 00:00:00,564097157
2024-08-31 00:00:00,565908851
2024-09-01 00:00:00,565037998
2024-09-02 00:00:00,564231059
2024-09-03 00:00:00,561462656
2024-09-04 00:00:00,563261544
2024-09-05 00:00:00,552051624
2024-09-06 00:00:00,552930891
2024-09-07 00:00:00,557621614
2024-09-08 00:00:00,556645210
2024-09-09 00:00:00,558208536
2024-09-10 00:00:00,569158019
2024-09-11 00:00:00,571317732
2024-09-12 00:00:00,569054151
2024-09-13 00:00:00,572729750
2024-09-14 00:00:00,574704516
2024-09-15 00:00:00,574171784
2024-09-16 00:00:00,575864263
2024-09-17 00:00:00,572084554
2024-09-18 00:00:00,575076705
2024-09-19 00:00:00,581062588
2024-09-20 00:00:00,589561600
2024-09-21 00:00:00,580817995
2024-09-22 00:00:00,580369533
2024-09-23 00:00:00,577955159
2024-09-24 00:00:00,578564180
2024-09-25 00:00:00,582056933
2024-09-26 00:00:00,574088495
2024-09-27 00:00:00,584993728
2024-09-28 00:00:00,594364195
2024-09-29 00:00:00,597937970
2024-09-30 00:00:00,601399099
2024-10-01 00:00:00,561170489
2024-10-02 00:00:00,601369011
2024-10-03 00:00:00,597178261
2024-10-04 00:00:00,603238871
2024-10-05 00:00:00,609049140
2024-10-06 00:00:00,608516884
2024-10-07 00:00:00,611437497
2024-10-08 00:00:00,600932706
2024-10-09 00:00:00,599847885
2024-10-10 00:00:00,597503423
2024-10-11 00:00:00,602242799
2024-10-12 00:00:00,606975078
2024-10-13 00:00:00,614530911
2024-10-14 00:00:00,614213216
2024-10-15 00:00:00,622939808
2024-10-16 00:00:00,627101059
2024-10-17 00:00:00,623296772
2024-10-18 00:00:00,623805884
2024-10-19 00:00:00,626924360
2024-10-20 00:00:00,628977903
2024-10-21 00:00:00,632152819
2024-10-22 00:00:00,628288788
2024-10-23 00:00:00,629777407
2024-10-24 00:00:00,637438784
2024-10-25 00:00:00,643602548
2024-10-26 00:00:00,636933531
2024-10-27 00:00:00,635435887
2024-10-28 00:00:00,639388548
2024-10-29 00:00:00,649489044
2024-10-30 00:00:00,668323300
2024-10-31 00:00:00,665074159
2024-11-01 00:00:00,658047832
2024-11-02 00:00:00,658561866
2024-11-03 00:00:00,659366101
2024-11-04 00:00:00,658086804
2024-11-05 00:00:00,652606039
2024-11-06 00:00:00,660197460
2024-11-07 00:00:00,717429828
2024-11-08 00:00:00,723888914
2024-11-09 00:00:00,733709637
2024-11-10 00:00:00,747649417
2024-11-11 00:00:00,786512412
2024-11-12 00:00:00,844628843
2024-11-13 00:00:00,909842937
2024-11-14 00:00:00,956377946
2024-11-15 00:00:00,962015417
2024-11-16 00:00:00,979066662
2024-11-17 00:00:00,1005969391
2024-11-18 00:00:00,1003340862
2024-11-19 00:00:00,1014256464
2024-11-20 00:00:00,1023439387
2024-11-21 00:00:00,1018069704
2024-11-22 00:00:00,1033597418
2024-11-23 00:00:00,1048406207
2024-11-24 00:00:00,1066054129
2024-11-25 00:00:00,1053432102
2024-11-26 00:00:00,1040533363
2024-11-27 00:00:00,1022900791
2024-11-28 00:00:00,1049908540
2024-11-29 00:00:00,1097225201
2024-11-30 00:00:00,1279759542
2024-12-01 00:00:00,1315673530
2024-12-02 00:00:00,1362356395
2024-12-03 00:00:00,1349854143
2024-12-04 00:00:00,1365475400
2024-12-05 00:00:00,1406380739
2024-12-06 00:00:00,1467872457
2024-12-07 00:00:00,1498780889
2024-12-08 00:00:00,1566078571
2024-12-09 00:00:00,1581608426
2024-12-10 00:00:00,1545692416
2024-12-11 00:00:00,1557021678
2024-12-12 00:00:00,1629306071
2024-12-13 00:00:00,1734239961
2024-12-14 00:00:00,1823257832
2024-12-15 00:00:00,1934824053
2024-12-16 00:00:00,2031187965
2024-12-17 00:00:00,2170604853
2024-12-18 00:00:00,2201485161
2024-12-19 00:00:00,2181843017
2024-12-20 00:00:00,2155248285
2024-12-21 00:00:00,2208484151
2024-12-22 00:00:00,2293184547
2024-12-23 00:00:00,2340951223
2024-12-24 00:00:00,2085658783
2024-12-25 00:00:00,2075779646
2024-12-26 00:00:00,2075291187
2024-12-27 00:00:00,2058091166
2024-12-28 00:00:00,2059265249
2024-12-29 00:00:00,2042727401
2024-12-30 00:00:00,2027595938
2024-12-31 00:00:00,2036190617
2025-01-01 00:00:00,2030540329
2025-01-02 00:00:00,2043135449
2025-01-03 00:00:00,2069514788
2025-01-04 00:00:00,2100094827
2025-01-05 00:00:00,2089741639
2025-01-06 00:00:00,2084415906
2025-01-07 00:00:00,2100468991
2025-01-08 00:00:00,2037337992
2025-01-09 00:00:00,2018327869
2025-01-10 00:00:00,2013918501
2025-01-11 00:00:00,1986975565
2025-01-12 00:00:00,1949319257
2025-01-13 00:00:00,1936590109
2025-01-14 00:00:00,1929409517
2025-01-15 00:00:00,1955648879
2025-01-16 00:00:00,1997632687
2025-01-17 00:00:00,2008743789
2025-01-18 00:00:00,2065593576
2025-01-19 00:00:00,2150444178
2025-01-20 00:00:00,2263098031
2025-01-21 00:00:00,2298828712
2025-01-22 00:00:00,2344967498
2025-01-23 00:00:00,2376945469
2025-01-24 00:00:00,2364090196
2025-01-25 00:00:00,2376033579
2025-01-26 00:00:00,2365331078
2025-01-27 00:00:00,2376772309
2025-01-28 00:00:00,2304850203
2025-01-29 00:00:00,2313447199
2025-01-30 00:00:00,2319754012
2025-01-31 00:00:00,2417167119
2025-02-01 00:00:00,2444235812
2025-02-02 00:00:00,2415588823
2025-02-03 00:00:00,2395619325
2025-02-04 00:00:00,2435737208
2025-02-05 00:00:00,2460865690
2025-02-06 00:00:00,2493572503
2025-02-07 00:00:00,2617305731
2025-02-08 00:00:00,2612690556
2025-02-09 00:00:00,2626007792
2025-02-10 00:00:00,2624086242
2025-02-11 00:00:00,2606065990
2025-02-12 00:00:00,2591123634
2025-02-13 00:00:00,2619091928
2025-02-14 00:00:00,2627415527
2025-02-15 00:00:00,2685042363
2025-02-16 00:00:00,2686296538
2025-02-17 00:00:00,2686502061
2025-02-18 00:00:00,2679258325
2025-02-19 00:00:00,2680503786
2025-02-20 00:00:00,2664228493
2025-02-21 00:00:00,2685838887
2025-02-22 00:00:00,2674846397
2025-02-23 00:00:00,2682358080
2025-02-24 00:00:00,2652038046
2025-02-25 00:00:00,2615507355
2025-02-26 00:00:00,2650041011
2025-02-27 00:00:00,2655061901
2025-02-28 00:00:00,2633493385
2025-03-01 00:00:00,2646085195
2025-03-02 00:00:00,2642574244
2025-03-03 00:00:00,2700151404
2025-03-04 00:00:00,2640581131
2025-03-05 00:00:00,2631789100
2025-03-06 00:00:00,2634106373
2025-03-07 00:00:00,2627604343
2025-03-08 00:00:00,2635503877
